Plaintext,Encryption Key,EM Traces
349E04B2220E9A91,A1B2C3D4E5F6G7H8,-0.009514566014924373 -0.013724001130807649 0.9403457480180761 0.8942119968142345 -0.017500740743369946 1.0340090701597553 0.009879146759571817 0.015343056920749694 1.0498655228700235 0.018136417041806675 0.02165537793345467 1.1397555135281745 0.9132097787525074 1.0866689276283694 1.1258629448504975 0.023016136392953312 0.011919629712492915 0.01723476493765721 0.0487796594557087 0.0066502995968560396 0.04059687928012757 1.0663805858122692 -0.03175866927733077 0.0011457461179437823 1.1142187013545213 -0.00955803649586564 0.9941034312260237 0.8418147712689243 -0.025394775270929766 0.011301171440817716 1.1632388544719994 -0.006000990260594461 0.005833487339144985 -0.006284525944222589 1.0391899820623953 0.0027550029201568473 -0.006565745227460187 -0.0063642811656343225 0.8277286417384847 -0.002614745510521627 0.02713044076777904 -0.060533539289199086 0.013202056313457477 -0.002730135451741711 0.7962877770509108 1.109348002473456 0.8305238009296028 0.0342220272088521 0.9364606283283418 -0.007063835922329088 0.00805759596098938 1.0279117103175008 1.1438287399830882 0.05572672862535135 1.199273270317038 -0.04147109577055244 0.9085746530305882 -0.045807384778163616 0.02521369697476137 1.2178507938867194 -0.010541879483005404 0.016374661593224295 -0.015343080150265299 1.1100002521476835
A2F2754A2108F98C,A1B2C3D4E5F6G7H8,0.8265974554480917 -0.0022728964945716327 1.0483864587547167 0.028984535832700515 0.01166358229274495 0.01582175689266086 1.0180215674736064 0.010844563628811211 0.8670906235382718 0.9657862513958176 1.1134750328164822 1.025265720498347 0.026541221541138568 0.03067335577154747 0.8702111610514065 0.03771187880605265 -0.00538631350523046 1.1038044375912306 1.1020514044571998 0.912034185892273 0.017523824208502143 0.8227251772162059 -0.015226432315202444 0.9170649502595046 -0.03586601996517592 1.091853975357787 -0.01469990817188143 0.018486752908286094 0.9310705262868006 0.007083140882027771 0.8195421022912686 0.0066290264791524865 -0.02983335533227277 -0.01042240844797022 0.8650627327779649 -0.004654995118630908 0.0033446510255841374 0.00041033100935188515 0.014702229047867409 0.9299006025216261 -0.035436143347401555 -0.008295938368032328 0.018434013500842412 0.0013957893029714625 1.1904371029956442 -0.010868756731933039 -0.012711161493843158 0.004222336615877559 1.117943414595642 1.1651767313207748 1.1501916714259963 1.1182147694283597 0.8072479327618791 0.03728592601059643 0.015574750869013661 0.8517542160333003 1.008392888669876 -0.04010020371045758 0.034643061279759406 -0.003118834193257323 0.9341848779907962 0.914614822943033 -0.007828421633569541 -0.007114756229251127
849FDDE3562B9557,A1B2C3D4E5F6G7H8,0.9491871434842741 0.010542504140883592 -0.014686203549463366 -0.01781745610563148 0.013206304397311654 1.211913249157078 0.010264227664547794 -0.002673248404225898 1.1328322515977554 0.011297482221292666 -0.03080262398554964 1.0612285900514842 1.0985600896287868 0.9793280975297591 1.1040559904840992 0.8620838390889025 0.9840359681900084 0.9450956331864101 -0.013835137152690878 0.976504254641703 1.0867346027343956 0.8955153834100775 -0.026040461861900708 1.0326022697489992 1.0471350159933774 0.8649377627196786 1.1931840151765678 -0.002829839077375206 0.009420298251111979 -0.011834601684473825 1.0932268302050234 1.034440433027316 -0.013855573684028446 1.1586693434832858 -0.01058505324948752 1.1215172494400472 -0.014016842333427246 0.9727542016009403 0.9444434171567893 0.004573381091380577 -0.043384626219071375 0.023250826000430953 0.8970878410865752 0.009474754574707745 1.1374492193106933 -0.002038980290575148 0.9765460200994502 1.066031348807246 1.1720975660567623 -0.03330772770105229 -0.014791890265504735 0.8022327726221803 0.01338954174939264 1.088971926258325 -0.0019723055093023587 1.0964659408002793 -0.043213799857626994 0.8930298323342623 -0.031413865046210535 1.2111580441861372 -0.01038351259708564 0.9331155699930719 1.1026543574771426 1.155489753051416
B9E8D649CFA1FDE9,A1B2C3D4E5F6G7H8,1.1091254985041068 -0.02510950551865237 0.9475451981164835 0.8813420728904773 0.9899199773774041 -0.01370865393190499 0.01040914921363747 1.1477360886838013 1.1068356987453003 0.9609422154197556 0.9148671108955179 0.014314069838866498 0.7884172086400496 0.0067573241186757015 -0.011714857244831565 -0.02335887895481725 0.9331180345761466 1.1305574538226268 0.03194263653136502 0.9020221638126863 0.0217593398501931 0.972257378718586 0.9968405120438467 0.023846667264473896 0.010156128169929873 1.1429912874139343 -0.009081668181948372 0.028889751356033885 1.0030562396489113 -0.03352747380544122 0.007483972873871141 1.0476006160261782 0.9377600932998725 0.8153765828646375 0.01984430061459359 -7.180386102402267e-06 0.9517212708500914 1.203338685803304 1.15708187950554 1.033346490300804 0.8717853881304122 -0.0001270525475896458 1.0302557867095516 -0.03369613862257746 0.01374853295812236 0.023396750863463454 -0.006841068949296623 0.933529900875368 0.9721566603673246 1.0120071122408512 0.9072505171623259 0.8757321050920243 1.1689536746790719 0.8513348959787326 -0.007731690036892814 1.01081716028298 1.0221362837969326 0.9678978837353751 0.8377069882445176 0.03736355971359111 1.1058065859048964 -0.015813676530606603 -0.048601388002797084 0.9225308217520556
DEBABE8B19439802,A1B2C3D4E5F6G7H8,0.9614286591451993 1.042765620205207 0.013137741974580156 0.9696998159262336 1.1444741945909174 0.8733309143827277 1.1535752363144902 0.009389677329405778 1.0041748320486539 -0.003447830958058174 1.0552922611907527 0.8216520069424391 1.1442519695428524 -0.012648423354580716 1.0886038218156273 0.026593440391687966 1.2049993455918901 -0.01926968126901176 1.1718351466772317 1.1756582645369684 1.1054439242106129 0.8921184356725357 0.9881352519467479 0.006192114066142493 0.7973923395918275 -0.024220947822496678 0.003927165755573824 0.02331208290780359 1.1501356735164316 0.02680032593599774 0.9189043051880009 0.8308008803095266 0.006637304198750381 -0.02373226333358664 -0.03779231511703863 0.8425888787157135 0.8192659721683899 -0.010354430342545668 -0.02002066187816031 1.0567623563688184 0.023690916264411298 1.0588527566661063 0.011528033783285712 0.009780194567375184 0.027978105087013365 -0.0393443638604411 1.1245462330932972 1.1327921549177689 1.1501294129086024 0.017579741422576102 -0.03375926240184201 0.9014291726408236 1.0849993434298986 -0.01022793740158142 0.00497188186602187 -0.021776610892011532 0.008972004129023593 0.004064387831719149 0.008772517093837482 0.006566195958147494 -0.015946569441305673 0.032978322769398376 1.1277183178364731 0.01921646421726356
4A226A4F46951A01,A1B2C3D4E5F6G7H8,0.05158752295597641 0.9922153715725361 -0.04848897908689944 -0.022827001625779633 0.9298641358614919 0.030113781868113292 1.1065118994116594 -0.02017349410677714 0.02351195236138813 -0.0038543834845765736 1.1107745155586322 0.005559641203227649 -0.019328271848075 -0.010816485934881093 1.1270159659576604 -0.036131556420707894 0.009366090294541368 0.9705710883540679 0.9482989122838885 -0.00710588059825748 1.1507471909601998 -0.03163196822480836 1.1435162972491517 0.017065323061252618 -0.034365532395269606 1.1137966613742019 -0.010720779793532613 -0.018773485197149442 0.8862478723644538 1.1958201852502381 1.1788186531057987 0.9331980472417397 -0.036717316230554076 0.8997698617223702 0.024818011597096616 0.0024596197813083324 -0.007925968042704113 1.0766841643399931 0.9931736210601863 -0.017362218943290368 1.0144196933823253 0.0316458866760875 0.014379430838178182 1.0000562213915452 -0.017075465062596634 1.091053119515597 -0.0254297265249706 1.0943832137453513 0.002371030533819158 -0.02123912357712651 -0.0014550220498689898 1.1357569168508792 0.8355409382425459 0.0058953004147204 1.1478357831011423 0.04028952714642002 -0.002673758059010796 0.0009320122717822467 -0.007344946708072722 0.0034566206106817756 0.037699267650495 -0.03460928237255685 -0.024868499343614642 1.1604019150493312
32E0531525C33222,A1B2C3D4E5F6G7H8,-4.6513449086616574e-05 0.0004491200387436728 0.8492548232339651 1.2058097260861715 0.016741745298166088 0.024400298061989175 1.1275215675264634 0.0013573314285502513 0.81800145304617 1.0663513085995833 1.1168822368836966 0.017198258062043302 -0.002490609224313289 0.008915087345789588 -0.007158278553299088 -0.0024136579646188094 0.013993583853684448 1.1540184634832613 -0.015735713509781743 0.8440282143892164 -0.03385115621892546 0.012417207454816002 0.816438368810348 1.1932728467230325 -0.026982060035187418 0.04307387980759131 -0.021572534441214226 0.9779979673922286 -0.012181620958734015 1.0108329592167025 -0.02948704893648843 0.9644713050951963 0.008061253958651956 0.024226706328603742 0.8656462224771885 -0.0232879115092253 -0.024756737637951894 0.8140339506146987 -0.009024847565533572 1.0818558820276065 1.1675679213281192 1.2164719799217372 -0.021293952088486882 0.0328631210378653 -0.007579723161631282 -0.022402849161029838 0.9655249070919106 0.7951681375389897 -0.005956796014473019 -0.00813023322776635 0.9814861025916359 0.9406738025927387 0.0012847700573886082 0.029829004901160472 1.1733151698087732 0.040271496173641314 0.009835457430127544 -0.027550998445717654 1.0287536358219191 -0.007810598830579524 -0.00789926019279283 -0.01989577877631204 1.138235638827534 0.01272550915991007
BCA742F20B927D73,A1B2C3D4E5F6G7H8,0.820588447698833 -0.0051029934852273385 1.0295782071432327 0.8208554238257516 1.0821861047236205 1.057136892938581 0.003907092737386791 0.003713957583090371 1.0476751388083168 0.014689139626439186 1.165540999204558 0.023646782695382514 0.01860334934605398 0.8437738563011422 1.1438312581175858 1.012896808001866 -0.008599660004703273 0.9477661836310357 -0.02211257097840447 -0.0035506142471947873 0.006317344794111841 -0.016546282144813972 0.9354777161412285 0.01021448201924866 1.0782559101913407 0.8024979543723054 1.1128411170208696 0.8835330201357101 0.0027805244863244216 0.004778210456473051 1.0577325356453482 -0.016665203374697405 -0.01188629707218454 -0.011110705647057168 -0.007198615522264345 9.134560605480126e-05 0.8052296568562022 -0.01401030359334118 1.0488703709658787 0.8794023245861752 1.0469124308980502 -0.01200384829796163 -0.010953545908394965 0.9859920119835037 0.01965504721367876 -0.033446639952364465 0.9719484361327069 0.015547591592581558 0.010252523707435228 0.9509269215166494 1.153104216360336 0.9049130749730321 0.9950158349508604 0.9256360234152605 0.03628562284686095 1.1982652058816414 -0.0180193852757096 1.0982144526262834 0.996382856718896 0.824976385020506 0.015185658042193165 -0.025840893926548498 0.9221619568837686 1.1661988172066635
0C88AAAC716E9930,A1B2C3D4E5F6G7H8,-0.03613049608134043 -0.0017195780178416457 0.00043982577549811665 0.010008152676591503 0.9371014375115675 1.1352675044203275 0.02748832439214932 -0.013993825954145927 1.0350918048782423 -0.0006126706930788952 -0.027434500838877468 -0.017689046246928297 1.1282660176822041 0.007252703194499591 0.05041929975712134 0.03979151743910083 0.8702820246116227 -0.0036914174163644913 1.0591303724462522 0.016254998126757094 1.0677828847772364 0.030556460654161212 1.021192930167406 -0.008989103895622807 0.8648719477154182 0.040247694978647 0.8210822825742472 0.008508984920392627 0.8683898191770737 1.1516008936133117 0.000537206488846408 0.012353504507761721 0.028619434717847583 0.8680882041645878 1.125516878718351 1.1600635038437512 -0.03378729291248392 -0.008485199666222047 0.006009954332420526 0.9857757299561839 0.005964132466674005 0.7998747312898625 0.9293494659409259 0.01139435906790417 0.8466202211080345 0.9965803182771208 0.7830969623690714 -0.0019159210623526626 1.0924001246559942 -0.009260489476592491 -0.0013850550363567393 1.0835809193892953 1.044559909832249 0.03475501747232201 0.001387962344330886 0.933586705537104 -0.014399045893379397 0.016606310219598554 0.9952956326329937 1.0139848777566705 -0.02985927488381664 -0.020861169874089473 -0.01736758658443317 -0.011410145701474637
7B925E31C7AF67AC,A1B2C3D4E5F6G7H8,-0.0024975382018352036 1.052780477566741 1.0750837236525235 0.8374582975710565 1.0712583079750504 -0.014090019630503594 0.8754350045737811 1.1023798441742145 0.8065103711663347 0.031829519503825454 -0.0009119247637474064 0.9372866016604047 0.01645691091721311 -0.026803223273596737 0.8810911734025242 -0.011812373487156498 0.0015101893223157686 1.033977135738278 -0.013714515792336382 0.7903262722843317 0.931088924008324 1.0375219225433399 1.1838664964022292 -0.0352139491032235 -0.03512606540373729 0.018131218975014417 0.8953812935881883 1.0401685889998662 0.01818115745308402 -0.01952712067518607 -0.039261787797477334 0.8445541617730233 1.205211794371368 1.0656164639617063 0.012588256473817044 0.006066373178126439 -0.027099338125091237 0.9274359774549412 0.8988696874294959 1.1420890095166234 1.0317601607877804 -0.01244363570625761 1.1696616758512106 -0.0065530629765357855 1.0554875327068678 0.8686148657819113 0.9686696628864725 0.8966227806380891 -0.008297112744814664 0.9316767878775805 0.9956186155377457 0.015105709782326608 -0.0042318737006462135 1.0206010604887121 0.8590942430478336 1.1388316014451292 0.9750057219942398 -0.047724522718456903 1.0392647895493923 -0.006953054305603692 1.072240813350456 1.0062773226948702 0.014486174308587774 0.003365775874817044
